best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,eta,h1,h2,batch_size,dropout_rate,weight_decay,momentum
38,1.8425040502548218,1.7493196816444396,1.8441235942840577,0.40206248,0.3545,48,True,0.0001,256,32,32,0.1,0.0001,0.3
10,1.8160955962680636,1.675785982131958,1.8352612692212302,0.43324995,0.36532736,20,True,0.01,256,32,64,0.1,0.0001,0.3
22,1.8172913751904927,1.6838640966415406,1.8455590179988317,0.43162495,0.36557537,32,True,0.001,256,32,64,0.1,0.0001,0.3
45,1.8268345651172457,1.7759956650733948,1.8368365802462139,0.39181244,0.3692956,55,True,0.0001,256,32,64,0.1,0.0001,0.3
14,1.8122909218072891,1.6644928379058839,1.8490894585847855,0.430125,0.3540039,24,True,0.01,256,32,128,0.1,0.0001,0.3
25,1.8128490783274174,1.6973742408752441,1.8229584619402885,0.42931247,0.3696289,35,True,0.001,256,32,128,0.1,0.0001,0.3
77,1.825461819767952,1.7788733177185059,1.8414840810000896,0.39481246,0.3659668,87,True,0.0001,256,32,128,0.1,0.0001,0.3
7,1.8514391689300538,1.7389804692268371,1.8760809197425843,0.38887495,0.34024996,17,True,0.01,256,64,16,0.1,0.0001,0.3
23,1.8630481033325195,1.7002174980640412,1.8908436188697815,0.40868747,0.339,33,True,0.001,256,64,16,0.1,0.0001,0.3
22,1.857130054473877,1.7723168561458587,1.8668256111145018,0.38849998,0.34199995,32,True,0.0001,256,64,16,0.1,0.0001,0.3
10,1.8318198308944702,1.6878672075271606,1.8695852785110474,0.417125,0.34225,20,True,0.01,256,64,32,0.1,0.0001,0.3
12,1.8389544849395751,1.719100757598877,1.8688167877197266,0.41031247,0.34724998,22,True,0.001,256,64,32,0.1,0.0001,0.3
32,1.8377155342102052,1.7589242446422577,1.8482990255355836,0.40081245,0.35499996,42,True,0.0001,256,64,32,0.1,0.0001,0.3
7,1.8138062007843503,1.6972690162658692,1.8447943869091215,0.42306244,0.36681545,17,True,0.01,256,64,64,0.1,0.0001,0.3
13,1.825454938979376,1.7087791323661805,1.8286017917451405,0.42137498,0.36557537,23,True,0.001,256,64,64,0.1,0.0001,0.3
66,1.8274836729443262,1.753745081424713,1.8376886333738054,0.40368748,0.35912693,76,True,0.0001,256,64,64,0.1,0.0001,0.3
10,1.818352073431015,1.6800274181365966,1.8361498974263668,0.43124998,0.3569336,20,True,0.01,256,64,128,0.1,0.0001,0.3
