best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,out_channels1,out_channels2,out_channels3,out_channels4,h1,h2,h3,eta,batch_size,dropout_rate,weight_decay,stride,padding,kernel_size,pool_kernel_size,pool_stride
6,0.9334304275966826,0.20099084006249904,1.1393861070511833,0.799009159937501,-0.13938610705118326,11,128,128,128,128,128,1024,1024,0.0001,64,0,0,1,1,3,3,2
9,0.7838892713189125,0.17614255848526955,1.0540867429226637,0.8238574415147304,-0.05408674292266369,14,128,128,128,128,128,1024,1024,0.001,128,0,0,1,1,3,3,2
6,0.947248188778758,0.20949788403511047,1.1911094803363085,0.7905021159648895,-0.19110948033630848,11,128,128,128,128,128,1024,1024,0.0001,128,0,0,1,1,3,3,2
7,0.8189919799093216,0.24219605347514153,0.9305153460729689,0.7578039465248585,0.06948465392703107,12,128,128,128,128,256,128,128,0.001,64,0,0,1,1,3,3,2
6,0.893070191617996,0.23299503296613694,1.0276865249588376,0.767004967033863,-0.02768652495883761,11,128,128,128,128,256,128,128,0.0001,64,0,0,1,1,3,3,2
7,0.8358423467725515,0.2093665235042572,1.0288711674511433,0.7906334764957428,-0.028871167451143265,12,128,128,128,128,256,128,128,0.001,128,0,0,1,1,3,3,2
8,0.9172147512435913,0.17295391517877579,1.1086145639419556,0.8270460848212242,-0.10861456394195557,13,128,128,128,128,256,128,128,0.0001,128,0,0,1,1,3,3,2
8,0.8328223067616659,0.21531796464323996,0.9387684786130511,0.7846820353567601,0.06123152138694887,13,128,128,128,128,256,128,256,0.001,64,0,0,1,1,3,3,2
5,0.9168657707789588,0.28737358742952346,1.0332033009756179,0.7126264125704765,-0.033203300975617855,10,128,128,128,128,256,128,256,0.0001,64,0,0,1,1,3,3,2
8,0.8483036831021309,0.2066767343878746,0.9139686804264784,0.7933232656121254,0.08603131957352161,13,128,128,128,128,256,128,256,0.001,128,0,0,1,1,3,3,2
6,0.9030664712190628,0.2328307625055313,1.0379849802702665,0.7671692374944687,-0.03798498027026653,11,128,128,128,128,256,128,256,0.0001,128,0,0,1,1,3,3,2
8,0.8097885899127476,0.22579980026185512,0.9753613973420764,0.7742001997381449,0.024638602657923614,13,128,128,128,128,256,128,512,0.001,64,0,0,1,1,3,3,2
6,0.9278778774397713,0.23198727035522462,1.0630871814394753,0.7680127296447754,-0.06308718143947534,11,128,128,128,128,256,128,512,0.0001,64,0,0,1,1,3,3,2
6,0.7955875340849161,0.27604220378398897,0.8715477418154478,0.7239577962160111,0.1284522581845522,11,128,128,128,128,256,128,512,0.001,128,0,0,1,1,3,3,2
7,0.9443418141454458,0.19475380849838256,1.1513614188879728,0.8052461915016175,-0.15136141888797283,12,128,128,128,128,256,128,512,0.0001,128,0,0,1,1,3,3,2
6,0.8170416501779405,0.29308226722478864,0.9502839540678357,0.7069177327752114,0.04971604593216428,11,128,128,128,128,256,128,1024,0.001,64,0,0,1,1,3,3,2
5,0.9008859812267243,0.263516636967659,1.0546108124748108,0.7364833630323411,-0.05461081247481081,10,128,128,128,128,256,128,1024,0.0001,64,0,0,1,1,3,3,2
8,0.848526231944561,0.20657198375463487,0.9241554699838161,0.7934280162453651,0.07584453001618385,13,128,128,128,128,256,128,1024,0.001,128,0,0,1,1,3,3,2
6,0.9382752627134323,0.22885439693927764,1.054121619090438,0.7711456030607223,-0.05412161909043789,11,128,128,128,128,256,128,1024,0.0001,128,0,0,1,1,3,3,2
6,0.8194670894789318,0.29383893600106237,0.8910312245762537,0.7061610639989376,0.10896877542374628,11,128,128,128,128,256,256,128,0.001,64,0,0,1,1,3,3,2
6,0.8973982362520128,0.2260975680947304,1.0511466406640553,0.7739024319052696,-0.051146640664055276,11,128,128,128,128,256,256,128,0.0001,64,0,0,1,1,3,3,2
9,0.8040011748671532,0.1564671859741211,0.9573147669434547,0.8435328140258789,0.04268523305654526,14,128,128,128,128,256,256,128,0.001,128,0,0,1,1,3,3,2
6,0.9075660705566406,0.2555942749977112,1.017512047663331,0.7444057250022889,-0.017512047663331032,11,128,128,128,128,256,256,128,0.0001,128,0,0,1,1,3,3,2
10,0.8128888138702938,0.17384138694405557,1.0221316431249892,0.8261586130559444,-0.022131643124989164,15,128,128,128,128,256,256,256,0.001,64,0,0,1,1,3,3,2
6,0.93437645738087,0.22227982991933823,1.0604197799213348,0.7777201700806617,-0.06041977992133485,11,128,128,128,128,256,256,256,0.0001,64,0,0,1,1,3,3,2
6,0.8061608988791704,0.28451424622535704,0.8740971870720387,0.715485753774643,0.12590281292796135,11,128,128,128,128,256,256,256,0.001,128,0,0,1,1,3,3,2
6,0.935011051595211,0.2558187319040299,1.044796546921134,0.7441812680959701,-0.044796546921133995,11,128,128,128,128,256,256,256,0.0001,128,0,0,1,1,3,3,2
6,0.8176568812794156,0.28849514621496203,0.9293830323786962,0.7115048537850379,0.07061696762130376,11,128,128,128,128,256,256,512,0.001,64,0,0,1,1,3,3,2
6,0.9178895931395273,0.22225088170170784,1.135401087147849,0.7777491182982922,-0.13540108714784904,11,128,128,128,128,256,256,512,0.0001,64,0,0,1,1,3,3,2
6,0.8027164041996002,0.2783868319988251,0.9434272404760122,0.7216131680011749,0.05657275952398777,11,128,128,128,128,256,256,512,0.001,128,0,0,1,1,3,3,2
6,0.9368389565497637,0.2506203075647354,1.0881402622908354,0.7493796924352646,-0.08814026229083538,11,128,128,128,128,256,256,512,0.0001,128,0,0,1,1,3,3,2
6,0.7989241774120028,0.2895965694487095,0.886600881341904,0.7104034305512905,0.11339911865809604,11,128,128,128,128,256,256,1024,0.001,64,0,0,1,1,3,3,2
5,0.9025950337213183,0.2494995309114456,1.1363738292739505,0.7505004690885544,-0.13637382927395048,10,128,128,128,128,256,256,1024,0.0001,64,0,0,1,1,3,3,2
6,0.8200066536664963,0.2590132123827934,0.8919116538017988,0.7409867876172066,0.10808834619820118,11,128,128,128,128,256,256,1024,0.001,128,0,0,1,1,3,3,2
6,0.9373044744133949,0.23481518536806106,1.1421255506575108,0.7651848146319389,-0.14212555065751076,11,128,128,128,128,256,256,1024,0.0001,128,0,0,1,1,3,3,2
7,0.8208504290807814,0.24535846120119095,0.9048972891436683,0.754641538798809,0.09510271085633171,12,128,128,128,128,256,512,128,0.001,64,0,0,1,1,3,3,2
5,0.8900165453789726,0.2501244952976704,1.1046621808930048,0.7498755047023296,-0.10466218089300483,10,128,128,128,128,256,512,128,0.0001,64,0,0,1,1,3,3,2
6,0.832113154232502,0.2783568357229233,0.9137364905327559,0.7216431642770766,0.08626350946724415,11,128,128,128,128,256,512,128,0.001,128,0,0,1,1,3,3,2
6,0.9031264912337065,0.2242183552980423,1.0438695065677166,0.7757816447019577,-0.0438695065677166,11,128,128,128,128,256,512,128,0.0001,128,0,0,1,1,3,3,2
11,0.8295498357878791,0.14995101949200035,1.1495497803839425,0.8500489805079996,-0.1495497803839425,16,128,128,128,128,256,512,256,0.001,64,0,0,1,1,3,3,2
6,0.8752929965655009,0.2012037667632103,1.1661604874663882,0.7987962332367897,-0.16616048746638823,11,128,128,128,128,256,512,256,0.0001,64,0,0,1,1,3,3,2
