best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,out_channels1,out_channels2,out_channels3,h1,h2,batch_size
8,0.8867939105109562,0.253348919481039,1.0577898219464317,0.91087496,0.71775794,13,True,32,256,256,512,128,64
6,0.886991485953331,0.3909962604045868,0.9191355798393488,0.8615,0.7163086,11,True,128,128,256,256,256,128
6,0.8872304918274047,0.4078684697747231,0.962301058428628,0.854625,0.7185019,11,True,64,128,256,256,128,64
9,0.8876944873481989,0.3056576424837112,0.9822681825608016,0.892,0.7182617,14,True,128,64,512,512,128,128
8,0.8880492410962544,0.3606311804354191,0.985044285891548,0.8735625,0.7199901,13,True,64,128,512,256,128,64
8,0.8881989123821259,0.2838843812048435,1.0326967217922212,0.89925,0.71424997,13,True,128,128,128,512,256,32
8,0.8885677512735128,0.380032330751419,1.0033352971076963,0.86487496,0.70288086,13,True,128,64,128,128,128,128
6,0.8886685371398926,0.3762298709154129,1.0047169253230095,0.866,0.71777344,11,True,64,128,128,256,512,128
11,0.8887024020391797,0.2533901827484369,1.0778716641759116,0.913125,0.7256944,16,True,128,128,512,256,256,64
11,0.8888657069395459,0.2389156543314456,1.0921070462181457,0.9145,0.72470236,16,True,128,256,512,512,128,64
9,0.8888697531074286,0.3628576354980469,1.0135926622897389,0.8708125,0.72265625,14,True,128,256,512,128,512,128
9,0.8895302731543779,0.2261449745297432,1.065238242968917,0.91975,0.7258301,14,True,32,128,256,512,512,128
8,0.8895436339080334,0.3045740388631821,1.048693310469389,0.8895,0.70703125,13,True,128,64,256,512,256,128
11,0.8896401411011106,0.289255158752203,1.045830638635726,0.9003125,0.7061012,16,True,128,128,512,256,512,64
6,0.8898138757795095,0.3332677118778229,1.0337445959448814,0.88175,0.6989746,11,True,32,256,128,512,128,128
7,0.8899904303252697,0.3027079720497131,0.999938566237688,0.891,0.72387695,12,True,128,256,128,512,512,128
7,0.890009444206953,0.2897156548500061,1.1329112816601992,0.8973125,0.7023926,12,True,32,256,128,256,512,128
7,0.8901125602424145,0.3672622201442718,0.9192654341459274,0.868375,0.72875977,12,True,128,64,256,256,256,128
8,0.8902955893427134,0.2630673899650573,1.0874503422528503,0.9071875,0.70825195,13,True,32,128,128,512,256,128
8,0.8905834313482046,0.4242332187891006,1.06828866712749,0.846125,0.69873047,13,True,128,64,512,256,128,128
10,0.8906102700838967,0.3099195398390293,1.0847232351227412,0.889625,0.71626985,15,True,128,256,256,128,512,64
8,0.8906215541064739,0.3181595460176468,0.9860666170716286,0.88774997,0.71899414,13,True,64,256,128,128,512,128
8,0.8906974016673981,0.3829113748073577,0.9777255663796076,0.86487496,0.7115575,13,True,128,256,512,256,128,64
10,0.8911118166787284,0.2875139235556125,0.9967755173879956,0.897,0.72470236,15,True,128,128,256,128,128,64
10,0.8912446267604828,0.2294784124977886,1.0918847162723542,0.9171875,0.718,15,True,64,256,128,512,512,32
10,0.8913464806973934,0.2696978638172149,1.049801219254732,0.9028125,0.7180176,15,True,128,128,128,128,256,128
8,0.8914361074566841,0.3318565187454224,1.042979238554835,0.87874997,0.68969727,13,True,64,64,256,512,512,128
9,0.8915393040293739,0.3447813574075699,0.9704313599874104,0.8816875,0.72296625,14,True,128,64,512,512,256,64
8,0.8916239719837904,0.3665227103233337,1.0102437902241943,0.8689375,0.704834,13,True,64,64,128,128,128,128
8,0.8921157121658325,0.3102935088872909,0.9703255724161864,0.8901875,0.720459,13,True,128,256,128,128,512,128
9,0.8923323714733123,0.2947644684650004,1.0529716527462003,0.8956875,0.72599995,14,True,64,256,256,256,128,32
10,0.892372190952301,0.2889009699225425,1.0436984977078816,0.9005,0.7398313,15,True,128,128,512,256,128,64
6,0.8926397864780728,0.4453207523226738,0.9231590387367068,0.845,0.7286706,11,True,64,256,512,512,512,64
7,0.8928059585510738,0.3941253720223903,1.0257476965586343,0.8608125,0.70262897,12,True,32,128,512,512,256,64
12,0.8928676042705774,0.2195232499241829,1.0954737644642591,0.9220625,0.7128906,17,True,128,128,512,256,128,128
7,0.89304580764165,0.3629132255017757,1.0313473088400704,0.8664375,0.7085813,12,True,32,64,128,512,256,64
7,0.8933154458091372,0.3571108005046844,0.966808019176362,0.87593746,0.7152778,12,True,64,256,512,512,256,64
8,0.8933681675365993,0.3641616967320442,0.974292845006973,0.87093747,0.71949404,13,True,64,64,512,512,128,64
7,0.8933970425277948,0.3703559838533402,0.9917952474206686,0.8698125,0.70532227,12,True,32,128,512,256,256,128
9,0.8934052588939667,0.34478245203197,1.0428838238716125,0.8809375,0.706,14,True,128,256,128,128,128,32
7,0.8934353716373443,0.3210292410925031,1.0420057497024535,0.8890625,0.71725,12,True,64,128,128,512,256,32
7,0.8934399163912213,0.3503403877019882,1.033292177177611,0.87425,0.7150297,12,True,64,256,256,256,512,64
9,0.893443486993275,0.2658948073685169,0.9716330530151488,0.9055625,0.72966266,14,True,128,128,128,256,128,64
10,0.8934724051505327,0.2288225855827331,0.9840231966227292,0.9163125,0.73828125,15,True,128,256,256,256,512,128
9,0.8936078075378661,0.292456897675991,1.080317509552789,0.8960625,0.7093254,14,True,32,64,256,512,128,64
8,0.8937312681227922,0.3184502085447311,0.9849225226789712,0.88699996,0.72216797,13,True,128,64,128,256,512,128
7,0.8938409414291382,0.3421760043501854,0.9792236845493316,0.8809375,0.717,12,True,128,128,128,512,128,32
7,0.8939315071181645,0.2830042717158794,1.0763518261531042,0.8981875,0.7100694,12,True,32,256,128,512,512,64
7,0.8940630135536194,0.3613091330975294,0.969926124572754,0.873375,0.7185,12,True,128,128,256,512,256,32
10,0.894168252036685,0.3285970685780048,1.0141360050156003,0.8851875,0.7199901,15,True,128,64,512,256,512,64
11,0.8942406101832314,0.2399152478426695,1.0707541865015786,0.9175,0.72594243,16,True,64,256,512,256,256,64
